,micro,mono,scenario
1,259.452942,590.922485,Scenario 1 - 03-11-23
2,217.01599099999999,564.2819825,Scenario 1 - 03-11-23
3,234.84753450000002,460.1263125,Scenario 1 - 03-11-23
4,256.6493225,213.46151700000001,Scenario 1 - 03-11-23
5,213.296997,254.15240500000002,Scenario 1 - 03-11-23
6,323.680084,245.933594,Scenario 1 - 03-11-23
7,225.94412250000002,231.4145505,Scenario 1 - 03-11-23
8,225.058014,220.98233,Scenario 1 - 03-11-23
9,216.607422,241.83108549999997,Scenario 1 - 03-11-23
10,222.10784900000002,218.1687315,Scenario 1 - 03-11-23
11,226.341034,289.787231,Scenario 1 - 03-11-23
12,216.85433949999998,222.6301575,Scenario 1 - 03-11-23
13,222.80450449999998,487.82556150000005,Scenario 1 - 03-11-23
14,220.99972499999998,218.4995725,Scenario 1 - 03-11-23
15,223.04922499999998,228.030579,Scenario 1 - 03-11-23
16,237.3529665,227.6624755,Scenario 1 - 03-11-23
17,244.73675550000002,214.489929,Scenario 1 - 03-11-23
18,218.614868,240.797302,Scenario 1 - 03-11-23
19,217.9127505,215.385498,Scenario 1 - 03-11-23
20,222.2633055,221.367401,Scenario 1 - 03-11-23
21,232.5823975,227.216095,Scenario 1 - 03-11-23
22,260.6689755,208.462219,Scenario 1 - 03-11-23
23,213.255707,226.741058,Scenario 1 - 03-11-23
24,252.442108,247.823395,Scenario 1 - 03-11-23
25,214.7681275,217.0169675,Scenario 1 - 03-11-23
26,216.538452,233.98751850000002,Scenario 1 - 03-11-23
27,228.48065200000002,476.46258550000005,Scenario 1 - 03-11-23
28,215.16317750000002,225.90945449999998,Scenario 1 - 03-11-23
29,233.517548,232.0982665,Scenario 1 - 03-11-23
30,270.0667725,242.4252625,Scenario 1 - 03-11-23
Min,213.255707,208.462219,Scenario 1 - 03-11-23
Max,323.680084,590.922485,Scenario 1 - 03-11-23
Average,232.7691223333333,278.19645075,Scenario 1 - 03-11-23
1,588.7663269999999,614.7939455000001,Scenario 2 - 04-11-23
2,537.6418765,625.6919555,Scenario 2 - 04-11-23
3,525.3950195,588.8103945,Scenario 2 - 04-11-23
4,669.268921,602.488464,Scenario 2 - 04-11-23
5,544.9057615,1515.941528,Scenario 2 - 04-11-23
6,527.9232175,1354.5740965,Scenario 2 - 04-11-23
7,523.674835,997.550476,Scenario 2 - 04-11-23
8,550.278107,642.331024,Scenario 2 - 04-11-23
9,523.0005189999999,607.202454,Scenario 2 - 04-11-23
10,530.890198,653.6036375,Scenario 2 - 04-11-23
11,532.5045775,594.1752620000001,Scenario 2 - 04-11-23
12,862.1116025,619.246216,Scenario 2 - 04-11-23
13,539.6554565,707.036255,Scenario 2 - 04-11-23
14,523.8262025,895.9270325,Scenario 2 - 04-11-23
15,576.20929,624.3650815000001,Scenario 2 - 04-11-23
16,543.625427,663.0160520000001,Scenario 2 - 04-11-23
17,665.4537965000001,846.2421569999999,Scenario 2 - 04-11-23
18,522.974121,585.287811,Scenario 2 - 04-11-23
19,545.6486815,643.576416,Scenario 2 - 04-11-23
20,540.3294985,592.258942,Scenario 2 - 04-11-23
21,543.33551,589.476532,Scenario 2 - 04-11-23
22,566.916748,818.4455565,Scenario 2 - 04-11-23
23,538.3858945,610.800842,Scenario 2 - 04-11-23
24,805.2093199999999,627.2155455,Scenario 2 - 04-11-23
25,519.8395695,585.650055,Scenario 2 - 04-11-23
26,524.124756,613.6373900000001,Scenario 2 - 04-11-23
27,535.7123415,639.6818845,Scenario 2 - 04-11-23
28,981.0436095,593.688202,Scenario 2 - 04-11-23
29,1030.9057315,657.3688355,Scenario 2 - 04-11-23
30,618.2900695000001,640.3259885,Scenario 2 - 04-11-23
Min,519.8395695,585.287811,Scenario 2 - 04-11-23
Max,1030.9057315,1515.941528,Scenario 2 - 04-11-23
Average,601.2615661833332,711.6803344000001,Scenario 2 - 04-11-23
1,942.7025145,409.556061,Scenario 3 - 14-11-23
2,893.0532225,392.082428,Scenario 3 - 14-11-23
3,539.6319275,358.172821,Scenario 3 - 14-11-23
4,418.35073850000003,422.8947445,Scenario 3 - 14-11-23
5,400.677887,406.536896,Scenario 3 - 14-11-23
6,385.230316,520.8002625,Scenario 3 - 14-11-23
7,418.095093,436.8217775,Scenario 3 - 14-11-23
8,398.4983215,385.1250915,Scenario 3 - 14-11-23
9,434.34866300000004,439.69635,Scenario 3 - 14-11-23
10,539.3640445,410.4129335,Scenario 3 - 14-11-23
11,448.510071,404.975311,Scenario 3 - 14-11-23
12,567.0245365,421.22995,Scenario 3 - 14-11-23
13,1264.3627015,647.5386965,Scenario 3 - 14-11-23
14,522.9510805,390.3048095,Scenario 3 - 14-11-23
15,453.49319449999996,615.181244,Scenario 3 - 14-11-23
16,438.90762300000006,381.059723,Scenario 3 - 14-11-23
17,440.1181945,412.7476505,Scenario 3 - 14-11-23
18,525.7893065000001,386.5532225,Scenario 3 - 14-11-23
19,457.444733,430.008331,Scenario 3 - 14-11-23
20,487.7895205,424.333313,Scenario 3 - 14-11-23
21,543.139984,422.06176750000003,Scenario 3 - 14-11-23
22,514.378235,404.848236,Scenario 3 - 14-11-23
23,434.3792115,502.21200600000003,Scenario 3 - 14-11-23
24,446.89437899999996,799.2225649999999,Scenario 3 - 14-11-23
25,548.0056155000001,780.8362119999999,Scenario 3 - 14-11-23
26,450.4322815,825.6677549999999,Scenario 3 - 14-11-23
27,421.828247,373.045166,Scenario 3 - 14-11-23
28,546.658081,372.95489499999996,Scenario 3 - 14-11-23
29,1009.2059630000001,385.085083,Scenario 3 - 14-11-23
30,444.31124900000003,369.83108500000003,Scenario 3 - 14-11-23
Min,385.230316,358.172821,Scenario 3 - 14-11-23
Max,1264.3627015,825.6677549999999,Scenario 3 - 14-11-23
Average,544.5192312,464.39321290000004,Scenario 3 - 14-11-23

