Iteration,Architecture,ScenarioPath,Joules
10,micro,1,109.82454815974727
10,micro,2,144.05121319976698
10,micro,3,271.00009117300004
10,mono,1,109.92821357140028
10,mono,2,153.06992111155344
10,mono,3,292.06904503486425
20,micro,1,108.66596637971935
20,micro,2,142.523989071979
20,micro,3,268.1756798994685
20,mono,1,108.7687422092064
20,mono,2,151.46610986029717
20,mono,3,289.0535048280131
30,micro,1,108.24674019635195
30,micro,2,142.03416182076313
30,micro,3,266.86781087491255
30,mono,1,108.34750227735097
30,mono,2,150.79470627766426
30,mono,3,287.4182868822567
Min,micro,1,101.54071833311626
Min,micro,2,133.2622495804649
Min,micro,3,250.2107995630607
Min,mono,1,101.6345029461104
Min,mono,2,141.41321187334628
Min,mono,3,269.375961430193
Max,micro,1,123.89048628195138
Max,micro,2,162.29273911380224
Max,micro,3,306.65599843090837
Max,mono,1,124.01303441551784
Max,mono,2,172.9763268688581
Max,mono,3,331.2788485367683
Average,micro,1,108.71491570018165
Average,micro,2,142.6003093065878
Average,micro,3,268.24130425304537
Average,mono,1,108.81741127397346
Average,mono,2,151.5167603336377
Average,mono,3,289.0786995393228
